lat,lon,pin
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
13.8195,77.7657,515405
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
15.0501,77.8725,515408
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.9081,78.0111,515411
14.5201,78.7733,515413
14.0628,78.5756,515414
13.1144,79.9372,515414
13.8352,78.6339,515414
15.2386,77.1556,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
14.0628,78.5756,515414
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
15.5042,80.1285,515415
14.8325,77.801,515425
17.2373,78.3992,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
16.0349,78.1001,515425
14.7997,77.7182,515435
14.7997,77.7182,515435
14.7997,77.7182,515435
14.7997,77.7182,515435
14.7969,78.2678,515445
14.7969,78.2678,515445
14.7969,78.2678,515445
14.7969,78.2678,515445
14.7969,78.2678,515445
14.7969,78.2678,515445
14.7969,78.2678,515445
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
15.0526,77.8175,515455
